x,z,v,alpha,d22,T,l1_r,l2_r,l3_r,l4_r,l5_r,l1_im,l2_im,l3_im,l4_im,l5_im
1.1204047368092576,1.1095450181616524e-05,0.1760844895657411,-1.569672971276772,2.7969735029248983e-10,1.0872202048006778,1212.1202934039866,0.0008250006253689,1.001547794989789,0.9984545994709488,0.9999999974249756,0.0,0.0,0.0,0.0,0.0
1.1204044447108876,0.0002712409677754,0.1760849005953475,-1.5659594920666275,5.84411861718736e-09,1.087219667464464,1212.1101331351852,0.0008250075349814,0.9999982417374024,0.9999982417374024,1.0000008999690684,0.0,0.0,0.0016198646392522,-0.0016198646392522,0.0
1.1204031865644204,0.0005313836069429,0.1760880999254972,-1.5639523494226215,6.933082645364371e-09,1.0872184515661532,1212.0764503866335,0.0008250304580862,0.9999921490216108,0.9999921490216108,1.0000002778458126,0.0,0.0,0.0039287459153692,-0.0039287459153692,0.0
1.1204014060528054,0.0007915231952873,0.1760919811749617,-1.55835727737929,1.3309172136065393e-08,1.087216241830559,1212.0242844310314,0.0008250659271409,0.9999815299279164,0.9999815299279164,0.9999994576061676,0.0,0.0,0.0061271352556269,-0.0061271352556269,0.0
1.1203981702639871,0.0010516487521177,0.1761009734376883,-1.5528767465225763,2.5919418791235776e-08,1.0872136880781684,1211.942947817001,0.000825121348841,0.9999675078763764,0.9999675078763764,0.9999991837772044,0.0,0.0,0.0081116804157987,-0.0081116804157987,0.0
1.1203935088120471,0.0013117526669506,0.176114936414578,-1.5482874039083128,2.209850440946219e-08,1.0872108123973336,1211.8330990208606,0.0008251961433472,0.9999501355890864,0.9999501355890864,0.999999430400614,0.0,0.0,0.0100147835281382,-0.0100147835281382,0.0
1.120387653707407,0.0015718324497006,0.1761327687226268,-1.546066072511476,2.325049466856582e-09,1.087207427781823,1211.697213124103,0.0008252886856826,0.9999291082972528,0.9999291082972528,0.9999999490643734,0.0,0.0,0.0119092038000635,-0.0119092038000635,0.0
1.120381220799856,0.00183189858234,0.1761515463510711,-1.5424743259058282,5.152127916295628e-12,1.087203078740422,1211.5421566242153,0.0008253943082237,0.999903749217374,0.999903749217374,0.9999999998799136,0.0,0.0,0.0138741566338845,-0.0138741566338845,0.0
1.1203738539385932,0.0020919399348222,0.1761622420328488,-1.5387207294038563,1.5700018315522e-11,1.0827828669512587,1179.258928078572,0.0008625992426422,0.9982177919721492,0.9982177919721492,0.984676225938327,0.0,0.0,0.0438615669170863,-0.0438615669170863,0.0
1.1203655109486048,0.0023519518002507,0.1761972114610934,-1.5349697146445629,2.797448103836908e-11,1.0871923092889784,1211.1621891132738,0.0008256532519805,0.9998412509921234,0.9998412509921234,1.0000000004903122,0.0,0.0,0.0178177474351257,-0.0178177474351257,0.0
1.1203561928964234,0.0026119305485152,0.1762242944994212,-1.5312153736910192,3.9887149078363895e-12,1.0871859195494968,1210.9368377811527,0.0008258069034311,0.9998041472796946,0.9998041472796946,1.0000000000113527,0.0,0.0,0.0197905755222687,-0.0197905755222687,0.0
1.1203458987707773,0.0028718724778432,0.1762542145894317,-1.5274995349723484,1.1093850320224699e-11,1.0871788604802768,1210.687914639136,0.0008259766930827,0.9997631338098838,0.9997631338098838,1.000000000215125,0.0,0.0,0.0217640956095859,-0.0217640956095859,0.0
1.120334638908658,0.0031317743653905,0.1762869228748964,-1.5236777099824867,9.935434748211775e-10,1.0871711245925697,1210.4155461401613,0.0008261625550659,0.9997181929837368,0.9997181929837368,0.9999999890589498,0.0,0.0,0.023739110629447,-0.023739110629447,0.0
1.1203223857391549,0.003391631317352,0.1763118244173901,-1.5201147239202,5.673740688663086e-12,1.0827487820467396,1178.092436046191,0.0008634622997011,0.9969899671953788,0.9969899671953788,0.9867033642595184,0.0,0.0,0.0480851498379987,-0.0480851498379987,0.0
1.12030920687515,0.0036514429668005,0.1763607767969683,-1.5160587408829325,5.054510572351914e-09,1.0871536342726935,1209.8003567960131,0.0008265826625961,0.9996165175775182,0.9996165175775182,0.9999999523466048,0.0,0.0,0.0276923336348841,-0.0276923336348841,0.0
1.1202949742383523,0.003911199021004,0.1763914800045552,-1.5124635643646551,3.1642806275451084e-11,1.082730616283632,1177.4713708824554,0.0008639225213027,0.9964510022877276,0.9964510022877276,0.9875525113946964,0.0,0.0,0.0502433726688604,-0.0502433726688604,0.0
1.120279807919074,0.004170902233162,0.1764462808701666,-1.5087194824769057,2.11987496904594e-11,1.0871335161779585,1209.090395047322,0.0008270680211964,0.999499155259102,0.999499155259102,1.0000000002565377,0.0,0.0,0.0316455080435313,-0.0316455080435313,0.0
1.120263669358262,0.0044305468412333,0.1764824370769918,-1.504964784486423,1.2378516098747523e-10,1.082709857076832,1176.7622376458369,0.0008644486077621,0.9959095428778708,0.9959095428778708,0.9883736531706246,0.0,0.0,0.0526295332053051,-0.0526295332053051,0.0
1.1202465558417527,0.0046901290116501,0.1765428971969642,-1.5012172739768483,3.092778357647537e-12,1.087110687780322,1208.2870607264738,0.0008276179004122,0.9993659101286244,0.9993659101286244,1.0000000001168694,0.0,0.0,0.0356058612458051,-0.0356058612458051,0.0
1.1202284698558116,0.0049496452399637,0.176584704476807,-1.497481244826654,2.38141874002415e-10,1.0826865065846587,1175.9651398044423,0.0008650407252797,0.99537563230192,0.99537563230192,0.989146559751879,0.0,0.0,0.0552156849300634,-0.0552156849300634,0.0
