# Content: Jacobi constant and split angle for Horizontal Lyapunov family
# Description: Split angle theta is used by border correction method to split Lyapunov surface into 2 borders
# (left and right).
# Author: Bober S.A.
# Generated by: Split point calculation.ipynb
# URL: https://bitbucket.org/stas_bober/orbipy/src/master/tutorials/
# Constant set: Sun-Earth (default)
# Lagrange point: L1
# Columns: ['J_HLY', 'J0', 'theta']
3.000890272998614439e+00 3.000890273190544022e+00 1.571561443773617395e+00
3.000890268211166667e+00 3.000890268977677522e+00 1.572329827542041647e+00
3.000890260250506980e+00 3.000890261972448680e+00 1.573093175467101146e+00
3.000890249131595855e+00 3.000890252188032292e+00 1.573857557721243472e+00
3.000890239474967025e+00 3.000890243690408798e+00 1.574392086550375325e+00
3.000890228926328174e+00 3.000890234407850077e+00 1.574900170405372002e+00
3.000890218061961878e+00 3.000890224847473586e+00 1.575370976883944119e+00
3.000890206947517402e+00 3.000890215067049560e+00 1.575789656417985185e+00
3.000890195618553857e+00 3.000890205097871632e+00 1.576186006966475928e+00
3.000890184113067516e+00 3.000890194973375724e+00 1.576570584290723387e+00
3.000890172450270565e+00 3.000890184710467867e+00 1.576928489842294168e+00
3.000890160641362048e+00 3.000890174319007730e+00 1.577273721787153526e+00
3.000890148693065917e+00 3.000890163804907917e+00 1.577604747301560195e+00
3.000890136609349668e+00 3.000890153171661190e+00 1.577924382268634407e+00
3.000890124392586067e+00 3.000890142421360096e+00 1.578233178896082167e+00
3.000890112044091396e+00 3.000890131555156159e+00 1.578532986252194625e+00
3.000890099564417213e+00 3.000890120573542319e+00 1.578824289858241636e+00
3.000890086953730940e+00 3.000890109476663348e+00 1.579108518552235330e+00
3.000890074211781222e+00 3.000890098264298089e+00 1.579386004154549550e+00
3.000890061338092885e+00 3.000890086936033541e+00 1.579654992300308702e+00
3.000890048332044646e+00 3.000890075491318587e+00 1.579919395171933028e+00
3.000890035192802063e+00 3.000890063929421370e+00 1.580186555031515061e+00
3.000890021919483619e+00 3.000890052249569173e+00 1.580447601988793860e+00
3.000890008511108764e+00 3.000890040450894247e+00 1.580695185664184432e+00
3.000889994966581487e+00 3.000890028532438247e+00 1.580943516571030383e+00
3.000889981284819541e+00 3.000890016493246382e+00 1.581198391130834713e+00
3.000889967464633656e+00 3.000890004332274152e+00 1.581432554555476155e+00
3.000889953504808361e+00 3.000889992048455301e+00 1.581670958385293257e+00
3.000889939404119744e+00 3.000889979640709804e+00 1.581907350142974567e+00
3.000889925161251970e+00 3.000889967107881695e+00 1.582141106823696131e+00
3.000889910774913627e+00 3.000889954448837660e+00 1.582370426967569355e+00
3.000889896243772448e+00 3.000889941662400862e+00 1.582600474126368173e+00
3.000889881566428219e+00 3.000889928747345170e+00 1.582835089586669852e+00
3.000889866741534462e+00 3.000889915702483979e+00 1.583053343334337670e+00
3.000889851767655436e+00 3.000889902526556074e+00 1.583283096439290993e+00
3.000889836643356734e+00 3.000889889218301576e+00 1.583492674973490111e+00
3.000889821367211940e+00 3.000889875776462823e+00 1.583715541705252861e+00
3.000889805937710264e+00 3.000889862199713765e+00 1.583931594357342654e+00
3.000889790353383546e+00 3.000889848486763878e+00 1.584151028427277508e+00
3.000889774612724548e+00 3.000889834636283560e+00 1.584366935233557871e+00
3.000889758714172295e+00 3.000889820646905015e+00 1.584580077646614127e+00
3.000889742656213777e+00 3.000889806517296865e+00 1.584802864652350651e+00
3.000889726437264926e+00 3.000889792246062893e+00 1.585002743753556320e+00
3.000889710055740789e+00 3.000889777831810434e+00 1.585214165359426275e+00
3.000889693510008005e+00 3.000889763273116184e+00 1.585425253508390586e+00
3.000889676798550454e+00 3.000889748568630111e+00 1.585634298214583460e+00
3.000889659919591779e+00 3.000889733716795682e+00 1.585842245980367604e+00
3.000889642871547469e+00 3.000889718716228227e+00 1.586049557790194298e+00
3.000889625652791270e+00 3.000889703565476019e+00 1.586256471907184551e+00
3.000889608261476216e+00 3.000889688262936339e+00 1.586462087238296625e+00
3.000889590696061759e+00 3.000889672807248942e+00 1.586671268960459624e+00
3.000889572954736462e+00 3.000889657196811555e+00 1.586872540033148926e+00
3.000889555035698653e+00 3.000889641430064092e+00 1.587077194670605707e+00
3.000889536937350499e+00 3.000889625505579250e+00 1.587279704365255117e+00
3.000889518657724686e+00 3.000889609421633963e+00 1.587482918186254199e+00
3.000889500195106585e+00 3.000889593176729431e+00 1.587686384597543521e+00
3.000889481547729165e+00 3.000889576769290024e+00 1.587887306253169095e+00
3.000889462713584699e+00 3.000889560197571804e+00 1.588089177989927769e+00
3.000889443690996305e+00 3.000889543460093734e+00 1.588291739442875938e+00
3.000889424477997558e+00 3.000889526555118980e+00 1.588491530830914433e+00
3.000889405072637572e+00 3.000889509480956452e+00 1.588694408027189642e+00
3.000889385473173299e+00 3.000889492236050060e+00 1.588893037236732475e+00
3.000889365677473997e+00 3.000889474818535962e+00 1.589094383886726414e+00
3.000889345683686926e+00 3.000889457226790569e+00 1.589294325068881353e+00
3.000889325489876747e+00 3.000889439459090369e+00 1.589493543730244651e+00
3.000889305093881632e+00 3.000889421513559974e+00 1.589693627592840386e+00
3.000889284493878595e+00 3.000889403388586896e+00 1.589894725066597569e+00
3.000889263687733344e+00 3.000889385082287752e+00 1.590093586756672561e+00
3.000889242673332014e+00 3.000889366592829788e+00 1.590292594026494921e+00
3.000889221448783672e+00 3.000889347918524575e+00 1.590491536041920728e+00
3.000889200011781721e+00 3.000889329057354171e+00 1.590691846177429758e+00
3.000889178360310883e+00 3.000889310007554212e+00 1.590891548936182565e+00
3.000889156492282606e+00 3.000889290767265738e+00 1.591090825797239816e+00
3.000889134405350767e+00 3.000889271334450381e+00 1.591291731933390352e+00
3.000889112097536060e+00 3.000889251707359762e+00 1.591490447267423392e+00
3.000889089566527890e+00 3.000889231883954178e+00 1.591689638258549255e+00
3.000889066810036976e+00 3.000889211862250772e+00 1.591889290516220301e+00
3.000889043826015623e+00 3.000889191640419451e+00 1.592088484724651698e+00
3.000889020611960945e+00 3.000889171216271301e+00 1.592289357605737088e+00
3.000888997165690242e+00 3.000889150587897181e+00 1.592489587050771593e+00
3.000888973484946654e+00 3.000889129753284479e+00 1.592689254469719984e+00
3.000888949567177999e+00 3.000889108710219855e+00 1.592889474044112852e+00
3.000888925410248209e+00 3.000889087456815041e+00 1.593088619514281046e+00
